feature,importance_gain,importance_split
correct_streak,508,508
corr_grp_PETROLEO_ENERGIA_chg,380,380
corr_grp_RISCO_PAIS_chg,299,299
ind_RSI_14_val_roll20_ema,292,292
inter_macro_x_micro,284,284
corr_grp_CRIPTOMOEDAS_chg,277,277
micro_score_roll20_std,259,259
win_price_lag10,256,256
hora_decimal,244,244
corr_grp_EMERGENTES_chg,233,233
corr_grp_ACOES_BRASIL_chg,229,229
sym_VALE3_chg,225,225
dist_lower_2s_pct,223,223
sym_IVVB11_chg,190,190
ind_RSI_14_val_roll20_std,188,188
ind_EMA_9_val,184,184
ind_RSI_14_val,177,177
ind_ADX_14_val_delta5,175,175
macro_score_final_roll10_std,172,172
price_vs_vwap_pct,172,172
ind_RSI_14_val_roll10_std,169,169
macro_score_final_roll5_ema,168,168
ind_RSI_14_val_roll20_mean,168,168
corr_grp_FOREX_chg,165,165
vwap_lower_2sigma,165,165
ind_ADX_14_val_delta3,164,164
ind_RSI_14_val_delta1,163,163
macro_score_final_lag10,160,160
corr_grp_CURVA_JUROS_chg,158,158
ind_ADX_14_val_lag5,156,156
ind_RSI_14_val_roll5_std,155,155
ind_RSI_14_val_delta3,154,154
macro_score_final_roll20_mean,153,153
ind_ADX_14_val_lag10,152,152
micro_score_roll5_std,151,151
corr_grp_std_score,149,149
dist_upper_1s_pct,141,141
sym_BOVA11_chg,138,138
sym_BBAS3_chg,138,138
micro_score_roll10_std,137,137
ind_ADX_14_val_delta1,136,136
micro_score_roll10_pos,134,134
macro_score_final_roll20_std,134,134
macro_score_final_roll20_ema,131,131
ind_ADX_14_val,128,128
corr_grp_JUROS_RENDA_FIXA_chg,127,127
macro_score_final_roll10_pos,126,126
macro_confidence,125,125
vwap_lower_1sigma,124,124
vwap_upper_2sigma,123,123
micro_score_roll20_mean,122,122
ind_RSI_14_val_delta5,122,122
ind_RSI_14_val_roll10_mean,121,121
corr_grp_COMMODITIES_chg,120,120
macro_score_final_roll10_ema,119,119
corr_grp_INDICES_GLOBAIS_chg,116,116
ind_RSI_14_val_lag10,116,116
win_price_delta1_pct,115,115
vwap_band_width_pct,110,110
vwap_value,109,109
ind_RSI_14_val_lag5,107,107
dist_upper_2s_pct,107,107
ind_ADX_14_val_lag3,106,106
win_price_delta3,105,105
dist_lower_1s_pct,102,102
ind_RSI_14_val_roll10_ema,99,99
macro_score_final_lag5,98,98
win_price_delta5,96,96
macro_score_final_roll5_mean,95,95
win_price_delta3_pct,95,95
win_price,94,94
macro_negative_streak,92,92
ind_ADX_14_val_lag1,90,90
sym_PETR4_chg,89,89
macro_score_final_roll5_std,88,88
ind_RSI_14_val_lag1,87,87
ind_RSI_14_val_roll5_ema,87,87
micro_score_roll5_ema,86,86
macro_score_final_delta5,85,85
sym_DOL_N_chg,84,84
macro_score_final_roll20_pos,83,83
corr_grp_mean_score,80,80
corr_grp_DOLAR_CAMBIO_chg,80,80
sym_PRIO3_chg,79,79
corr_grp_INDICES_BRASIL_chg,74,74
ind_RSI_14_val_roll10_pos,73,73
win_price_lag1,73,73
corr_grp_ACOES_BRASIL_score,73,73
win_price_lag5,72,72
ind_RSI_14_val_roll20_pos,71,71
inter_macro_x_adx,71,71
micro_score_lag10,67,67
macro_score_final_roll10_mean,62,62
corr_grp_FOREX_score,62,62
macro_score_final_delta1,61,61
vwap_upper_1sigma,58,58
win_price_delta5_pct,55,55
micro_score_roll10_mean,54,54
micro_positive_streak,53,53
micro_score,52,52
win_price_delta1,50,50
ind_RSI_14_val_lag3,48,48
micro_score_delta1,48,48
micro_score_roll20_pos,47,47
minutos_desde_abertura,47,47
micro_score_roll20_ema,45,45
sym_WSP_N_chg,45,45
sym_WDO_N_chg,44,44
micro_score_lag1,43,43
macro_score_final,43,43
macro_score_final_lag1,41,41
win_price_lag3,40,40
micro_score_roll5_mean,39,39
micro_score_delta5,38,38
smc_fvg_score,36,36
macro_score_final_delta3,36,36
micro_score_roll5_pos,33,33
dist_pivot_s2_pct,33,33
macro_score_final_roll5_pos,33,33
dist_pivot_r1_pct,32,32
corr_grp_INDICES_BRASIL_score,32,32
corr_grp_n_positive,31,31
micro_score_roll10_ema,31,31
macro_score_final_lag3,31,31
inter_rsi_x_smc,30,30
ind_RSI_14_val_roll5_pos,29,29
sym_DI1_N_chg,27,27
micro_score_lag3,25,25
corr_grp_n_negative,24,24
ind_RSI_14_val_roll5_mean,20,20
corr_grp_FLUXO_MICROESTRUTURA_score,20,20
corr_grp_RISCO_PAIS_score,19,19
dist_pivot_s1_pct,18,18
corr_grp_INDICADORES_TECNICOS_score,17,17
corr_grp_consensus,15,15
smc_equilibrium,15,15
corr_grp_FOREX_wgt,12,12
corr_grp_ACOES_BRASIL_wgt,11,11
dist_pivot_r2_pct,11,11
sym_DI1F27_chg,11,11
corr_grp_VOLATILIDADE_chg,10,10
price_vs_pivot_pct,10,10
corr_grp_JUROS_RENDA_FIXA_score,9,9
mercado_us_aberto,9,9
micro_score_lag5,9,9
smc_bos_score_lag5,9,9
corr_grp_CURVA_JUROS_score,8,8
corr_grp_CURVA_JUROS_wgt,8,8
corr_grp_COMMODITIES_score,8,8
corr_grp_EMERGENTES_score,7,7
micro_score_delta3,6,6
corr_grp_FLUXO_MICROESTRUTURA_wgt,6,6
corr_grp_INDICES_BRASIL_wgt,5,5
smc_direction,5,5
corr_grp_INDICES_GLOBAIS_score,4,4
macro_positive_streak,4,4
corr_grp_CRIPTOMOEDAS_score,4,4
vwap_position,3,3
sym_IVVB11_score,3,3
corr_grp_CRIPTOMOEDAS_wgt,3,3
corr_grp_EMERGENTES_wgt,3,3
corr_grp_COMMODITIES_wgt,3,3
micro_trend,3,3
sym_DI1F27_score,3,3
smc_bos_score_lag1,3,3
corr_grp_PETROLEO_ENERGIA_score,3,3
corr_grp_RISCO_PAIS_wgt,2,2
smc_bos_score_lag10,2,2
