episode_id,timestamp,source,win_price,win_open_price,win_high_of_day,win_low_of_day,win_price_change_pct,macro_score_final,macro_score_bullish,macro_score_bearish,macro_score_neutral,macro_items_available,macro_confidence,micro_score,micro_trend,alignment_score,overall_confidence,vwap_value,vwap_upper_1sigma,vwap_lower_1sigma,vwap_upper_2sigma,vwap_lower_2sigma,vwap_position,pivot_pp,pivot_r1,pivot_r2,pivot_r3,pivot_s1,pivot_s2,pivot_s3,smc_direction,smc_bos_score,smc_equilibrium,smc_equilibrium_score,smc_fvg_score,volume_today,volume_avg,volume_variance_pct,volume_score,obv_score,sentiment_intraday,sentiment_momentum,sentiment_volatility,probability_up,probability_down,probability_neutral,recommended_approach,market_regime,market_condition,session_phase,candle_pattern_score,action,urgency,risk_level,entry_price,stop_loss,take_profit,risk_reward_ratio,setup_type,setup_quality,macro_bias,fundamental_bias,sentiment_bias,technical_bias,session_date,reward_cont_5m,reward_norm_5m,was_correct_5m,price_chg_pts_5m,mfe_5m,mae_5m,vol_5m,reward_cont_15m,reward_norm_15m,was_correct_15m,price_chg_pts_15m,mfe_15m,mae_15m,vol_15m,reward_cont_30m,reward_norm_30m,was_correct_30m,price_chg_pts_30m,mfe_30m,mae_30m,vol_30m,reward_cont_60m,reward_norm_60m,was_correct_60m,price_chg_pts_60m,mfe_60m,mae_60m,vol_60m,reward_cont_120m,reward_norm_120m,was_correct_120m,price_chg_pts_120m,mfe_120m,mae_120m,vol_120m,corr_grp_ACOES_BRASIL_score,corr_grp_BLUE_CHIPS_score,corr_grp_COMMODITIES_score,corr_grp_CRIPTO_score,corr_grp_CRIPTOMOEDAS_score,corr_grp_CURVA_JUROS_score,corr_grp_DOLAR_CAMBIO_score,corr_grp_EMERGENTES_score,corr_grp_ETFS_score,corr_grp_FLUXO_MICROESTRUTURA_score,corr_grp_FOREX_score,corr_grp_INDICADORES_TECNICOS_score,corr_grp_INDICES_BRASIL_score,corr_grp_INDICES_GLOBAIS_score,corr_grp_JUROS_score,corr_grp_JUROS_RENDA_FIXA_score,corr_grp_PETROLEO_ENERGIA_score,corr_grp_RISCO_PAIS_score,corr_grp_VOLATILIDADE_score,corr_grp_ACOES_BRASIL_chg,corr_grp_BLUE_CHIPS_chg,corr_grp_COMMODITIES_chg,corr_grp_CRIPTOMOEDAS_chg,corr_grp_CURVA_JUROS_chg,corr_grp_DOLAR_CAMBIO_chg,corr_grp_EMERGENTES_chg,corr_grp_ETFS_chg,corr_grp_FOREX_chg,corr_grp_INDICES_BRASIL_chg,corr_grp_INDICES_GLOBAIS_chg,corr_grp_JUROS_chg,corr_grp_JUROS_RENDA_FIXA_chg,corr_grp_PETROLEO_ENERGIA_chg,corr_grp_RISCO_PAIS_chg,corr_grp_VOLATILIDADE_chg,corr_grp_ACOES_BRASIL_wgt,corr_grp_BLUE_CHIPS_wgt,corr_grp_COMMODITIES_wgt,corr_grp_CRIPTO_wgt,corr_grp_CRIPTOMOEDAS_wgt,corr_grp_CURVA_JUROS_wgt,corr_grp_DOLAR_CAMBIO_wgt,corr_grp_EMERGENTES_wgt,corr_grp_ETFS_wgt,corr_grp_FLUXO_MICROESTRUTURA_wgt,corr_grp_FOREX_wgt,corr_grp_INDICADORES_TECNICOS_wgt,corr_grp_INDICES_BRASIL_wgt,corr_grp_INDICES_GLOBAIS_wgt,corr_grp_JUROS_wgt,corr_grp_JUROS_RENDA_FIXA_wgt,corr_grp_PETROLEO_ENERGIA_wgt,corr_grp_RISCO_PAIS_wgt,corr_grp_VOLATILIDADE_wgt,sym_BBAS3_score,sym_BOVA11_score,sym_DI1F27_score,sym_DI1_N_score,sym_DOL_N_score,sym_HSI_score,sym_IVVB11_score,sym_PETR4_score,sym_PRIO3_score,sym_VALE3_score,sym_WDO_N_score,sym_WIN_N_score,sym_WSP_N_score,sym_BBAS3_chg,sym_BOVA11_chg,sym_DI1F27_chg,sym_DI1_N_chg,sym_DOL_N_chg,sym_IVVB11_chg,sym_PETR4_chg,sym_PRIO3_chg,sym_VALE3_chg,sym_WDO_N_chg,sym_WSP_N_chg,ind_ADX_14_val,ind_EMA_9_val,ind_RSI_14_val,ind_ADX_14_score,ind_BB_POSITION_score,ind_EMA_9_score,ind_RSI_14_score,price_vs_vwap_pct,price_vs_pivot_pct,range_intraday,price_in_range_pct,hora_decimal,minutos_desde_abertura,dia_semana,mercado_us_aberto
94e14428-e908-4adb-951c-fb45b2ba3db2,2026-02-10 13:24:31.961696,MICRO_AGENT,186775,185960,,,,3,,,,,63.64,-5,CONSOLIDAÇÃO,,,186243.06,186660.31,185825.82,187077.56,185408.57,ABOVE_1S,185810,188040,189290,191520,184560,182330,181080,NEUTRO,0,PREMIUM,-3,0,,,,0,0,,,,,,,,,,,0,HOLD,,,,,,,,,NEUTRAL,,,,2026-02-10,-60.0,-0.3,0.0,-60.0,,,,-15.0,-0.075,0.0,-15.0,,,,-120.0,-0.6,0.0,-120.0,,,,-215.0,-1.0,0.0,-215.0,,,,-585.0,-1.0,0.0,-585.0,,,,,0.5,0.3333333333333333,0.0,,,-0.6666666666666666,,1.0,,,,,-0.3333333333333333,0.5,,,,0.0,,0.6544797227159838,0.13837638376383765,,,0.2062179985934321,,0.2554639755314529,,,-0.10006790322004216,-0.23631350925561245,,,,,,2.0,1.0,0.0,,,-2.0,,2.0,,,,,-1.0,1.0,,,,0.0,1.0,1.0,,1.0,-1.0,,1.0,-1.0,,1.0,-1.0,,-1.0,1.4101531023368252,0.3512816290685548,,-0.23631350925561245,0.22064466615502687,0.15964632199435097,-0.40192926045016075,,0.13837638376383765,0.19179133103183735,-0.10006790322004216,12.23,-0.07,53.44,-1,0,0,0,0.28561601167850353,0.5193477207900543,,50.0,13.4,264,1,1
3767e8c2-5d55-4403-89cf-f1e65378cd59,2026-02-10 13:26:32.293327,MICRO_AGENT,186740,185960,,,,3,,,,,63.64,-4,CONSOLIDAÇÃO,,,186245.82,186663.61,185828.03,187081.39,185410.25,ABOVE_1S,185810,188040,189290,191520,184560,182330,181080,NEUTRO,0,PREMIUM,-3,0,,,,0,0,,,,,,,,,,,0,HOLD,,,,,,,,,NEUTRAL,,,,2026-02-10,-100.0,-0.5,0.0,100.0,,,,-80.0,-0.4,0.0,-80.0,,,,-80.0,-0.4,0.0,-80.0,,,,-165.0,-0.825,0.0,-165.0,,,,-665.0,-1.0,0.0,-665.0,,,,,0.5,0.3333333333333333,0.0,,,-0.6666666666666666,,1.0,,,,,-0.3333333333333333,0.5,,,,0.0,,0.7097124015846393,0.13837638376383765,,,0.18703702558876112,,0.2662281227423383,,,-0.042886244237160934,-0.23631350925561245,,,,,,2.0,1.0,0.0,,,-2.0,,2.0,,,,,-1.0,1.0,,,,0.0,1.0,1.0,,1.0,-1.0,,1.0,-1.0,,1.0,-1.0,,-1.0,1.6116035455278002,0.34579285361435863,,-0.23631350925561245,0.21105141980046047,0.18666339187031805,-0.40192926045016075,,0.13837638376383765,0.16302263137706174,-0.042886244237160934,11.84,-0.07,46.18,-1,0,0,0,0.26533749858117245,0.5005112749582907,,50.0,13.433333333333334,266,1,1
87c54dc9-97f5-4b33-a2ea-06836d3f932d,2026-02-10 13:28:32.604210,MICRO_AGENT,186785,185960,,,,3,,,,,63.64,-3,CONSOLIDAÇÃO,,,186248.84,186667.46,185830.22,187086.08,185411.59,ABOVE_1S,185810,188040,189290,191520,184560,182330,181080,NEUTRO,0,PREMIUM,-3,0,,,,0,0,,,,,,,,,,,1,HOLD,,,,,,,,,NEUTRAL,,,,2026-02-10,-50.0,-0.25,0.0,-50.0,,,,-145.0,-0.725,0.0,-145.0,,,,-190.0,-0.95,0.0,-190.0,,,,-200.0,-1.0,0.0,-200.0,,,,-815.0,-1.0,0.0,-815.0,,,,,0.5,0.3333333333333333,0.0,,,-0.6666666666666666,,1.0,,,,,-0.3333333333333333,0.5,,,,0.0,,0.75080685384102,0.13837638376383765,,,0.1390799933233655,,0.27171689819653455,,,-0.05718165898288124,-0.27569909413154786,,,,,,2.0,1.0,0.0,,,-2.0,,2.0,,,,,-1.0,1.0,,,,0.0,1.0,1.0,,1.0,-1.0,,1.0,-1.0,,1.0,-1.0,,-1.0,1.6116035455278002,0.356770404522751,,-0.27569909413154786,0.16308518802762856,0.18666339187031805,-0.40192926045016075,,0.13837638376383765,0.11507479861910241,-0.05718165898288124,12.55,-0.05,47.46,-1,0,0,0,0.28787293386632823,0.5247295624562726,,50.0,13.466666666666667,268,1,1
8ec5d046-6015-431a-9ef0-9a6a9455a7b6,2026-02-10 13:30:32.805448,MICRO_AGENT,186715,185960,,,,3,,,,,63.64,-3,CONSOLIDAÇÃO,,,186250.66,186669.4,185831.93,187088.14,185413.19,ABOVE_1S,185810,188040,189290,191520,184560,182330,181080,NEUTRO,0,PREMIUM,-3,-1,,,,0,0,,,,,,,,,,,0,HOLD,,,,,,,,,NEUTRAL,,,,2026-02-10,-150.0,-0.75,0.0,150.0,,,,-65.0,-0.325,0.0,-65.0,,,,-145.0,-0.725,0.0,-145.0,,,,-155.0,-0.775,0.0,-155.0,,,,-800.0,-1.0,0.0,-800.0,,,,,0.5,0.3333333333333333,0.0,,,-0.6666666666666666,,1.0,,,,,-0.3333333333333333,0.5,,,,0.0,,0.7196579346394165,0.06918819188191883,,,0.09591774433376579,,0.1800513148940271,,,-0.08577248847432187,-0.31508467900748327,,,,,,2.0,1.0,0.0,,,-2.0,,2.0,,,,,-1.0,1.0,,,,0.0,1.0,1.0,,1.0,-1.0,,1.0,-1.0,,1.0,-1.0,,-1.0,1.6116035455278002,0.3183489763433778,,-0.31508467900748327,0.11511895625479662,0.04175365344467641,-0.37513397642015006,,0.06918819188191883,0.07671653241273495,-0.08577248847432187,39.0,-0.07,40.69,1,0,0,0,0.24930918365604532,0.4870566707927453,,50.0,13.5,270,1,1
fafd16ea-ac02-49a8-9a60-00ad22003aaf,2026-02-10 13:32:33.143387,MICRO_AGENT,186840,185960,,,,3,,,,,63.64,-3,CONSOLIDAÇÃO,,,186253.24,186672.8,185833.69,187092.35,185414.13,ABOVE_1S,185810,188040,189290,191520,184560,182330,181080,NEUTRO,0,PREMIUM,-3,0,,,,0,0,,,,,,,,,,,0,HOLD,,,,,,,,,NEUTRAL,,,,2026-02-10,-110.0,-0.55,0.0,-110.0,,,,-280.0,-1.0,0.0,-280.0,,,,-225.0,-1.0,0.0,-225.0,,,,-330.0,-1.0,0.0,-330.0,,,,-1005.0,-1.0,0.0,-1005.0,,,,,0.5,0.3333333333333333,0.0,,,-0.6666666666666666,,1.0,,,,,-0.3333333333333333,0.5,,,,0.0,,0.7977980479361688,0.1268450184501845,,,0.0719401481518116,,0.20200641671081176,,,-0.07505092741503162,-0.27569909413154786,,,,,,2.0,1.0,0.0,,,-2.0,,2.0,,,,,-1.0,1.0,,,,0.0,1.0,1.0,,1.0,-1.0,,1.0,-1.0,,1.0,-1.0,,-1.0,1.6116035455278002,0.3622591799769471,,-0.27569909413154786,0.09593246354566386,0.04175365344467641,-0.24115755627009647,,0.1268450184501845,0.04794783275795934,-0.07505092741503162,36.27,-0.02,44.94,1,0,0,0,0.31503344586113474,0.5543296916204725,,50.0,13.533333333333333,272,1,1
8f354891-6e05-4af0-a1dd-d25972e0ccc6,2026-02-10 13:34:33.393502,MICRO_AGENT,186735,185960,,,,3,,,,,63.64,-1,CONSOLIDAÇÃO,,,186254.85,186674.53,185835.17,187094.21,185415.49,ABOVE_1S,185810,188040,189290,191520,184560,182330,181080,NEUTRO,0,PREMIUM,-3,0,,,,0,0,,,,,,,,,,,1,HOLD,,,,,,,,,NEUTRAL,,,,2026-02-10,-25.0,-0.125,0.0,25.0,,,,-215.0,-1.0,0.0,-215.0,,,,-225.0,-1.0,0.0,-225.0,,,,-235.0,-1.0,0.0,-235.0,,,,-885.0,-1.0,0.0,-885.0,,,,,0.5,0.3333333333333333,0.0,,,-0.6666666666666666,,1.0,,,,,-0.3333333333333333,0.5,,,,0.0,,0.65486688206108,0.10378228782287822,,,0.09112112115648259,,0.1819308312241856,,,-0.09292019584718202,-0.27569909413154786,,,,,,2.0,1.0,0.0,,,-2.0,,2.0,,,,,-1.0,1.0,,,,0.0,1.0,1.0,,1.0,-1.0,,1.0,-1.0,,1.0,-1.0,,-1.0,1.53102336825141,0.30737142543498547,,-0.27569909413154786,0.10552570990023023,0.05649023701338573,-0.37513397642015006,,0.10378228782287822,0.07671653241273495,-0.09292019584718202,36.27,-0.06,41.27,1,0,0,0,0.25779194474667055,0.49782035412518166,,50.0,13.566666666666666,274,1,1
a02df346-08b4-45c4-9e01-a6829adfee30,2026-02-10 13:36:33.592332,MICRO_AGENT,186865,185960,,,,3,,,,,63.64,-3,CONSOLIDAÇÃO,,,186256.94,186677.41,185836.46,187097.88,185415.99,ABOVE_1S,185810,188040,189290,191520,184560,182330,181080,NEUTRO,0,PREMIUM,-3,0,,,,0,0,,,,,,,,,,,0,HOLD,,,,,,,,,NEUTRAL,,,,2026-02-10,-205.0,-1.0,0.0,-205.0,,,,-270.0,-1.0,0.0,-270.0,,,,-340.0,-1.0,0.0,-340.0,,,,-400.0,-1.0,0.0,-400.0,,,,-1105.0,-1.0,0.0,-1105.0,,,,,0.5,0.3333333333333333,0.0,,,-0.6666666666666666,,1.0,,,,,-0.3333333333333333,0.5,,,,0.0,,0.6684634181613457,0.18450184501845018,,,0.0719401481518116,,0.22092884033485183,,,-0.06790322004217147,-0.27569909413154786,,,,,,2.0,1.0,0.0,,,-2.0,,2.0,,,,,-1.0,1.0,,,,0.0,1.0,1.0,,1.0,-1.0,,1.0,-1.0,,1.0,-1.0,,-1.0,1.53102336825141,0.39519183270212416,,-0.27569909413154786,0.09593246354566386,0.04666584796757951,-0.37513397642015006,,0.18450184501845018,0.04794783275795934,-0.06790322004217147,65.48,,36.86,1,0,0,0,0.3264630032040673,0.567784295786018,,50.0,13.6,276,1,1
8b931deb-9a60-4264-aecc-822df570dd54,2026-02-10 13:38:33.802718,MICRO_AGENT,186730,185960,,,,3,,,,,63.64,-4,CONSOLIDAÇÃO,,,186259.46,186680.42,185838.51,187101.37,185417.56,ABOVE_1S,185810,188040,189290,191520,184560,182330,181080,NEUTRO,0,PREMIUM,-3,0,,,,0,0,,,,,,,,,,,-2,HOLD,,,,,,,,,NEUTRAL,,,,2026-02-10,-90.0,-0.45,0.0,-90.0,,,,-75.0,-0.375,0.0,-75.0,,,,-115.0,-0.575,0.0,-115.0,,,,-315.0,-1.0,0.0,-315.0,,,,-955.0,-1.0,0.0,-955.0,,,,,0.5,0.3333333333333333,0.0,,,-0.6666666666666666,,1.0,,,,,-0.3333333333333333,0.5,,,,0.0,,0.5687431697816947,0.16143911439114392,,,0.04316408889108696,,0.18864765530910754,,,-0.06790322004217147,-0.27569909413154786,,,,,,2.0,1.0,0.0,,,-2.0,,2.0,,,,,-1.0,1.0,,,,0.0,1.0,1.0,,1.0,-1.0,,1.0,-1.0,,1.0,-1.0,,-1.0,1.5713134568896052,0.3183489763433778,,-0.27569909413154786,0.05755947812739831,0.05894633427483728,-0.4287245444801715,,0.16143911439114392,0.028768699654775604,-0.06790322004217147,59.77,-0.06,32.07,1,0,0,0,0.2526260948034576,0.4951294332920726,,50.0,13.633333333333333,278,1,1
dc5befc7-9093-40ec-9594-5c31d2cd0a7e,2026-02-10 13:40:34.015467,MICRO_AGENT,186760,185960,,,,3,,,,,63.64,-2,CONSOLIDAÇÃO,,,186261.2,186682.68,185839.73,187104.16,185418.25,ABOVE_1S,185810,188040,189290,191520,184560,182330,181080,NEUTRO,0,PREMIUM,-3,0,,,,0,0,,,,,,,,,,,0,HOLD,,,,,,,,,NEUTRAL,,,,2026-02-10,-110.0,-0.55,0.0,-110.0,,,,-100.0,-0.5,0.0,-100.0,,,,-100.0,-0.5,0.0,-100.0,,,,-335.0,-1.0,0.0,-335.0,,,,-1080.0,-1.0,0.0,-1080.0,,,,,0.5,0.3333333333333333,0.0,,,-0.6666666666666666,,1.0,,,,,-0.3333333333333333,0.5,,,,0.0,,0.6018436126464184,0.18450184501845018,,,0.062348741698732474,,0.2207903234054846,,,-0.05003395161002108,-0.19692792437967704,,,,,,2.0,1.0,0.0,,,-2.0,,2.0,,,,,-1.0,1.0,,,,0.0,1.0,1.0,,1.0,-1.0,,1.0,-1.0,,1.0,-1.0,,-1.0,1.4504431909750202,0.34579285361435863,,-0.19692792437967704,0.08633921719109747,0.09578779319661059,-0.40192926045016075,,0.18450184501845018,0.038358266206367474,-0.05003395161002108,68.48,-0.04,31.54,1,0,0,0,0.2677959768325278,0.5112749582907271,,50.0,13.666666666666666,280,1,1
c823dac3-ca3e-4a52-9d6f-2e599d3831d6,2026-02-10 13:42:34.256410,MICRO_AGENT,186660,185960,,,,3,,,,,63.64,0,CONSOLIDAÇÃO,,,186263.02,186684.5,185841.54,187105.98,185420.06,AT_VWAP,185810,188040,189290,191520,184560,182330,181080,NEUTRO,0,PREMIUM,-3,0,,,,0,0,,,,,,,,,,,0,HOLD,,,,,,,,,NEUTRAL,,,,2026-02-10,-100.0,-0.5,0.0,-100.0,,,,-65.0,-0.325,0.0,-65.0,,,,0.0,0.0,1.0,0.0,,,,-240.0,-1.0,0.0,-240.0,,,,-1020.0,-1.0,0.0,-1020.0,,,,,0.5,0.3333333333333333,0.0,,,-0.6666666666666666,,1.0,,,,,-0.3333333333333333,0.5,,,,0.0,,0.6081487714811313,0.13837638376383765,,,0.05755211852144927,,0.17283279664595175,,,-0.03931239055073085,-0.23631350925561245,,,,,,2.0,1.0,0.0,,,-2.0,,2.0,,,,,-1.0,1.0,,,,0.0,1.0,1.0,,1.0,-1.0,,1.0,-1.0,,1.0,-1.0,,-1.0,1.3295729250604351,0.27443877270980843,,-0.23631350925561245,0.07674597083653108,0.07122682058209505,-0.48231511254019294,,0.13837638376383765,0.038358266206367474,-0.03931239055073085,71.27,-0.08,29.43,1,0,0,1,0.21312872517583492,0.4574565416285453,,50.0,13.7,282,1,1
